fiscal_year,agency_name,payee_name,payee_cleaned,payee_zip,amount
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,STAFFING OPTIONS AND SOLUTIONS INC,STAFFING OPTIONS AND SOLUTIONS INC,60197,100033
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,STAGE RIGGING SERVICES INC,STAGE RIGGING SERVICES INC,27405,605423
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,STANBURY UNIFORMS LLC,STANBURY UNIFORMS LLC,64628,32900
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,"STARK & KEENAN, A PROFESSIONAL ASSOCATION","STARK & KEENAN, A PROFESSIONAL ASSOCATION",21014,29257
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,STARPOWER COMMUNICATIONS LLC,STARPOWER COMMUNICATIONS LLC,07101,100800
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,STATE OF MARYLAND,STATE OF MARYLAND,21201,7998950
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,STATE OF MARYLAND,STATE OF MARYLAND,21202,150
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,STATE OF MARYLAND,STATE OF MARYLAND,21203,11363
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,STATE OF MARYLAND,STATE OF MARYLAND,21204,550
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,STATE OF MARYLAND,STATE OF MARYLAND,21252,3000
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,STATE OF MARYLAND,STATE OF MARYLAND,21282,48466
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,STEEL PRODUCTS INC,STEEL PRODUCTS INC,20850,228677
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,STERTIL-KONI USA INC,STERTIL-KONI USA INC,21666,693392
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,STEVE'S FROZEN CHILLERS INC,STEVE'S FROZEN CHILLERS INC,33426,88806
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,STORM WATER MANAGEMENT FACILITIES REPAIR GROUP INC,STORM WATER MANAGEMENT FACILITIES REPAIR GROUP INC,20879,607620
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,STRATHMORE HALL FOUNDATION INC,STRATHMORE HALL FOUNDATION INC,20852,128650
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,SUFFOLK UNIVERSITY,SUFFOLK UNIVERSITY,02108,73425
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,SUMMIT ENERGY SERVICES INC,SUMMIT ENERGY SERVICES INC,60673,40940
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,SUN EDISON LLC.,SUN EDISON LLC,94163,118358
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,SUNNY ACRES LANDSCAPING INC,SUNNY ACRES LANDSCAPING INC,21035,45676
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,SUPERIOR SUPPLY LTD,SUPERIOR SUPPLY LTD,21227,693088
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,SUPERIOR TEXT,SUPERIOR TEXT,48198,100869
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,SUPPORTED LLC,SUPPORTED LLC,22030,49967
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,SUPREME MEDICAL FULFILLMENT SYSTEMS INC,SUPREME MEDICAL FULFILLMENT SYSTEMS INC,36685,123473
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,SWEENEY BROTHERS INC,SWEENEY BROTHERS INC,20774,192585
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,T L GARDEN & ASSOCIATES INC,T L GARDEN & ASSOCIATES INC,20109,129263
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,TAKOMA TREE EXPERTS INC,TAKOMA TREE EXPERTS INC,20783,31238
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,"TAN FIRE ALARMS, LLC","TAN FIRE ALARMS, LLC",21036,1394292
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,TAYLOR SECURITY & LOCK COMPANY INC,TAYLOR SECURITY & LOCK COMPANY INC,15601,1631
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,TAYLOR SECURITY & LOCK COMPANY INC,TAYLOR SECURITY & LOCK COMPANY INC,31193,40188
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,TCA ARCHITECTS LLC,TCA ARCHITECTS LLC,21032,96353
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,TECH AIR MID-ATLANTIC INC,TECH AIR MID-ATLANTIC INC,21227,94385
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,TECHNOLOGY RESOURCE ASSOCIATES INC,TECHNOLOGY RESOURCE ASSOCIATES INC,28403,92926
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,TEX-AM CONSTRUCTION CO INC,TEX-AM CONSTRUCTION CO INC,20879,1316491
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,THE ARROW PROJECT,THE ARROW PROJECT,77388,129593
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,TEXTHELP SYSTEMS INC,TEXTHELP SYSTEMS INC,01801,50460
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,THE B.E.L.L. FOUNDATION INC,THE B.E.L.L. FOUNDATION INC.,02122,900000
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,THE BEST BATTERY COMPANY INC,THE BEST BATTERY COMPANY INC,21224,182200
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,THE CHILDREN'S GUILD INC,THE CHILDREN'S GUILD INC.,21234,623776
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,"THE CHILDREN'S GUILD INSTITUTE, INC",THE CHILDREN'S GUILD INC.,21234,121500
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,THE DEVEREUX FOUNDATION,THE DEVEREUX FOUNDATION,44194,145411
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,THE ECHELON ACADEMY,THE ECHELON ACADEMY,20833,42176
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,"THE FATHER'S TABLE, LLC","THE FATHER'S TABLE, LLC",32772,52548
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,THE FOUNDATION SCHOOLS,THE FOUNDATION SCHOOLS,20774,300000
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,THE FOUNDATION SCHOOLS,THE FOUNDATION SCHOOLS,20852,3700307
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,THE GEORGE B THOMAS SR LEARNING ACADEMY INC,THE GEORGE B THOMAS SR LEARNING ACADEMY INC,20902,187101
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,THE GREAT BOOKS FOUNDATION,THE GREAT BOOKS FOUNDATION,60601,120780
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,THE GREENWOOD SCHOOL INC,THE GREENWOOD SCHOOL INC,05346,93720
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,"THE HEARING AND SPEECH AGENCY OF METROPOLITAN BALTIMORE, INC","THE HEARING AND SPEECH AGENCY OF METROPOLITAN BALTIMORE, INC",21215,153825
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,THE HOWARD COUNTY PUBLIC SCHOOL SYSTEM,THE HOWARD COUNTY PUBLIC SCHOOL SYSTEM,21042,44400
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,THE K GROUP ARCHITECTS,THE K GROUP ARCHITECTS,20852,212760
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,THE LITERACY LAB,THE LITERACY LAB,20036,116476
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,THE MARYLAND SCHOOL FOR THE BLIND,THE MARYLAND SCHOOL FOR THE BLIND,21236,232106
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,THE MATTHEWS GROUP INC,THE MATTHEWS GROUP INC,20134,922829
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,THE PROPHET CORPORATION,THE PROPHET CORPORATION,55485,82779
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,THE ROCKMONT MOTOR COMPANY INC,THE ROCKMONT MOTOR COMPANY INC,20855,30739
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,THE SELMA M LEVINE SCHOOL OF MUSIC,THE SELMA M LEVINE SCHOOL OF MUSIC,20008,40400
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,THE TREE HOUSE INC,THE TREE HOUSE INC,02062,50524
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,"THOMPSON, JOHN","THOMPSON, JOHN",34476,412511
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,TILLEY CHEMICAL CO INC,TILLEY CHEMICAL CO INC,21275,453280
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,TJ DISTRIBUTORS INC,TJ DISTRIBUTORS INC,21050,184029
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,T-MOBILE USA INC,T-MOBILE USA INC,45274,1029121
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,TODAYS OFFICE SOLUTIONS INC,TODAYS OFFICE SOLUTIONS INC,20148,27716
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,TOTAL KITCHEN CARE LLC,TOTAL KITCHEN CARE LLC,21108,50665
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,TOWSON MECHANICAL INC,TOWSON MECHANICAL INC,21234,1785580
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,TOWSON STATE UNIVERSITY,TOWSON STATE UNIVERSITY,21204,12910
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,TOWSON STATE UNIVERSITY,TOWSON STATE UNIVERSITY,21252,59720
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,TRAPEZE SOFTWARE GROUP  INC,TRAPEZE SOFTWARE GROUP INC.,75320,64961
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,TREATMENT & LEARNING CENTERS INC,TREATMENT & LEARNING CENTERS INC,20850,4072851
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,TRIAD ENGINEERING INC,TRIAD ENGINEERING INC,21740,25623
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,"TSENG, PAUL","TSENG, PAUL",20854,85338
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,TUCKMAN-BARBEE CONSTRUCTION CO,TUCKMAN-BARBEE CONSTRUCTION CO,20774,10512972
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,TUMBLEWEED PRESS INC,TUMBLEWEED PRESS INC,M5M 3X5,36406
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,TURNITIN LLC,TURNITIN LLC,94139,155124
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,TYSON FOODS INC,TYSON FOODS INC,10087,34497
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,TYSON PREPARED FOODS INC,TYSON PREPARED FOODS INC,10087,1597139
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,"ULINE, INC","ULINE, INC",60680,39531
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,UNISOURCE SERVICES LLC,UNISOURCE SERVICES LLC,21770,998159
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,UNITEC DISTRIBUTION SYSTEMS INC,UNITEC DISTRIBUTION SYSTEMS INC,21157,168272
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,UNITED REFRIGERATION INC,UNITED REFRIGERATION INC,19182,74261
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,UNITED RENTALS NORTH AMERICA INC,UNITED RENTALS NORTH AMERICA INC,30384,86673
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,UNITED STATES POSTAL SERVICE,UNITED STATES POSTAL SERVICE,20850,965
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,UNITED STATES POSTAL SERVICE,UNITED STATES POSTAL SERVICE,20898,464000
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,UNITED WIRECRAFT INC,UNITED WIRECRAFT INC,60018,45091
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,UNIVERSITY OF MARYLAND,UNIVERSITY OF MARYLAND,20742,656768
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,UNIVERSITY OF MARYLAND,UNIVERSITY OF MARYLAND,20783,6897
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,UNIVERSITY OF MARYLAND,UNIVERSITY OF MARYLAND,20850,18645
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,UNIVERSITY OF MARYLAND,UNIVERSITY OF MARYLAND,21203,980
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,UNIVERSITY OF MARYLAND,UNIVERSITY OF MARYLAND,21250,49473
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,UNIVERSITY OF MICHIGAN,UNIVERSITY OF MICHIGAN,48109,98207
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,UNIVERSITY OF WASHINGTON,UNIVERSITY OF WASHINGTON,98115,47465
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,UNIVERSITY OF WASHINGTON,UNIVERSITY OF WASHINGTON,98195,36000
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,URBAN N ZINK CONTRACTOR INC,URBAN N ZINK CONTRACTOR INC,21027,2176837
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,US MODULAR GROUP EAST INC,US MODULAR GROUP EAST INC,21013,1301639
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,VANGUARD MODULAR BUILDING SYSTEMS LLC,VANGUARD MODULAR BUILDING SYSTEMS LLC,19182,30450
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,VARSITY BRANDS HOLDING CO INC,VARSITY BRANDS HOLDING CO INC,75266,311913
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,VENABLE LLP,VENABLE LLP,21264,89635
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,VERITIV OPERATING COMPANY,VERITIV OPERATING COMPANY,60693,138363
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,VERIZON MARYLAND INC,VERIZON MARYLAND INC,08650,606402
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,VERIZON MARYLAND INC,VERIZON MARYLAND INC,12212,635482
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,VERIZON MARYLAND INC,VERIZON MARYLAND INC,20904,51996
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,VERIZON WIRELESS,VERIZON WIRELESS,07101,135056
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,VERIZON WIRELESS,VERIZON WIRELESS,18002,301458
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,VISTA HIGHER LEARNING INC,VISTA HIGHER LEARNING INC,02284,26348
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,VOYAGER SOPRIS LEARNING INC,VOYAGER SOPRIS LEARNING INC,02284,70792
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,VSC FIRE AND SECURITY INC,VSC FIRE AND SECURITY INC,23005,122697
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,VWR INTERNATIONAL LLC,VWR INTERNATIONAL LLC,15264,74777
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,W L GARY COMPANY INC,W L GARY COMPANY INC,20012,2037956
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,W W GRAINGER INC,W W GRAINGER INC,60038,453802
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,WALDON STUDIO ARCHITECHTS & PLANNERS PC,WALDON STUDIO ARCHITECTS & PLANNERS PC,21046,66214
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,WALKER WILLIS CORP,WALKER WILLIS CORP,20860,2046140
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,WALTON MADDEN COOPER ROBINSON PONESS INC,WALTON MADDEN COOPER ROBINSON PONESS INC,20747,6375
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,WALTON MADDEN COOPER ROBINSON PONESS INC,WALTON MADDEN COOPER ROBINSON PONESS INC,20770,638013
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,"WARFIELD, BERNARD T","WARFIELD, BERNARD T",21703,29600
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,WASHINGTON COUNTY BOARD OF EDUCATION,WASHINGTON COUNTY BOARD OF EDUCATION,21740,40689
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,WASHINGTON GAS LIGHT COMPANY,WASHINGTON GAS LIGHT COMPANY,22151,2669350
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,WASHINGTON GAS LIGHT COMPANY,WASHINGTON GAS LIGHT COMPANY,22156,1516
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,WASHINGTON MUSIC SALES CENTER INC,WASHINGTON MUSIC SALES CENTER INC,20902,80012
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,WASHINGTON SUBURBAN SANITARY COMMISSION,WASHINGTON SUBURBAN SANITARY COMMISSION,20707,4567258
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,WAVE FABRICATIONS INC,WAVE FABRICATIONS INC,11787,29731
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,WAYSIDE PUBLISHING,WAYSIDE PUBLISHING,04032,198731
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,WAZZLE LLC,WAZZLE LLC,48813,106700
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,WB MASON COMPANY INC,WB MASON COMPANY INC,02298,436075
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,WEISS BROS OF HAGERSTOWN INC,WEISS BROS OF HAGERSTOWN INC,21740,367539
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,WELLNESS SOLUTIONS INC,WELLNESS SOLUTIONS INC,20198,37338
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,WENGER CORPORATION,WENGER CORPORATION,55485,86971
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,WERRES CORP,WERRES CORP,21275,31796
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,WEST MUSIC COMPANY INC,WEST MUSIC COMPANY INC,52241,28066
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,WEYER'S FLOOR SERVICE INC,WEYER'S FLOOR SERVICE INC,21113,612749
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,WGL ENERGY SERVICES INC,WGL ENERGY SERVICES INC,22182,12678862
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,WILLARD PACKAGING CO,WILLARD PACKAGING CO,20884,25670
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,WILLIAMS SCOTSMAN INC,WILLIAMS SCOTSMAN INC,60693,455764
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,WILMER CUTLER PICKERING HALE AND DORR LLP,WILMER CUTLER PICKERING HALE AND DORR LLP,20006,265000
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,WINCHESTER HOMES INC,WINCHESTER HOMES INC,20817,6440
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,WINCHESTER HOMES INC,WINCHESTER HOMES INC,20854,197200
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,WISCONSIN CENTER FOR EDUCATION PRODUCTS AND SERVICES INC,WISCONSIN CENTER FOR EDUCATION PRODUCTS AND SERVICES INC,53719,87570
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,WLR AUTOMOTIVE GROUP INC,WLR AUTOMOTIVE GROUP INC,21703,29784
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,WOODBOURNE CENTER INC,WOODBOURNE CENTER INC,21239,28011
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,XEROX CORPORATION,XEROX CORPORATION,19182,326097
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,YOTI N N & ASSOCIATES INC,YOTI N N & ASSOCIATES INC,20832,163650
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,YOUNG MENS CHRISTIAN ASSC OF METROPOLITAN WASHING,YOUNG MENS CHRISTIAN ASSC OF METROPOLITAN WASHING,21037,61432
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,ZEAGER BROTHERS INC,ZEAGER BROTHERS INC,17057,119224
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,4IMPRINT INC,4IMPRINT INC,54901,51638.59
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,AASA,AASA,22314,25000
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,ACCREDITED LOCK AND DOOR HARDWARE CO,ACCREDITED LOCK AND DOOR HARDWARE CO,07096,44965.74
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,ACCULINE ENTERPRISES INC,ACCULINE ENTERPRISES INC,20851,60840
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,ACER AMERICA CORPORATION,ACER AMERICA CORPORATION,95112,95686.76
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,ACER SERVICE CORPORATION,ACER SERVICE CORPORATION,95110,377354.25
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,ACME PAPER & SUPPLY CO INC,ACME PAPER & SUPPLY CO INC,20763,95518.3
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,ADFORM ADVERTISING LLC,ADFORM ADVERTISING LLC,21227,129500
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,ADT COMMERCIAL LLC,ADT COMMERCIAL LLC,15251,55601.91
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,ADVENTIST HEALTHCARE URGENT CARE CENTERS INC,ADVENTIST HEALTHCARE URGENT CARE CENTERS INC,21264,411794.67
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,ADVENTIST REHABILITATION HOSPITAL OF MARYLAND INC,ADVENTIST REHABILITATION HOSPITAL OF MARYLAND INC,20850,86666
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,AIRECO SUPPLY INC,AIRECO SUPPLY INC,20763,27843.1
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,ALAN TYE & ASSOCIATES LC,ALAN TYE & ASSOCIATES LC,22031,49194.16
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,ALL AMERICAN PROTECTIVE SERVICES LLC,ALL AMERICAN PROTECTIVE SERVICES LLC,20855,25852.25
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,ALLEGIS GROUP HOLDINGS INC,ALLEGIS GROUP HOLDINGS INC.,30349,234900
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,"ALLEGIS GROUP HOLDINGS, INC.",ALLEGIS GROUP HOLDINGS INC.,30349,32400
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,ALLSAFE ELEVATOR INSPECTIONS LLC,ALLSAFE ELEVATOR INSPECTIONS LLC,21286,72919.5
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,ALTA IT SERVICES LLC,ALTA IT SERVICES LLC,15264,57971.5
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,AMBER ENTERPRISES INC,AMBER ENTERPRISES INC,20740,120210.79
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,AMDA DISTRIBUTORS,AMDA DISTRIBUTORS,33014,106899.21
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,AMERICAN AIR FILTER COMPANY INC,AMERICAN AIR FILTER COMPANY INC,21224,428214.36
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,AMERICAN DESIGN ASSOCIATES INC,AMERICAN DESIGN ASSOCIATES INC,21234,159969.53
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,AMERICAN ENVIRONMENTAL ENTERPRISES INC,AMERICAN ENVIRONMENTAL ENTERPRISES INC,19342,1235086.3
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,AMERICAN TENNIS COURTS INC,AMERICAN TENNIS COURTS INC,21222,1021452.6
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,AMERICAN TRUCK & BUS INC,AMERICAN TRUCK & BUS INC,21401,17842731.17
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,AMERIGAS PROPANE LP,AMERIGAS PROPANE LP,15250,53500.12
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,AMPLIFIED IT LLC,AMPLIFIED IT LLC,23510,71340
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,AMPLIFY EDUCATION INC,AMPLIFY EDUCATION INC.,15251,108670.6
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,"AMPLIFY EDUCATION, INC.",AMPLIFY EDUCATION INC.,15251,47640
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,"ANNE ARUNDEL FIRE INSPECTION, INC.",ANNE ARUNDEL FIRE INSPECTION INC.,21061,29060.05
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,ANNE ARUNDEL FIRE PROTECTION INC *USE SUPPLIER 311055,ANNE ARUNDEL FIRE INSPECTION INC.,21061,121292.07
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,ANNE ARUNDEL FIRE PROTECTION INC *USE SUPPLIER 400044,ANNE ARUNDEL FIRE INSPECTION INC.,21061,47438.03
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,ANTHONY LEE ASSOCIATES,ANTHONY LEE ASSOCIATES,20879,58054.5
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,AON CONSULTING INC,AON CONSULTING INC,60673,305516.75
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,APEX COMPANIES LLC,APEX COMPANIES LLC,21203,182768.5
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,APEX LEARNING INC,APEX LEARNING INC,98161,88055
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,APPLE & EVE LLC,APPLE & EVE LLC,10050,129363
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,APPLE INC,APPLE INC,30384,555665.49
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,APPLICATIONS SOFTWARE TECHNOLOGY LLC,APPLICATIONS SOFTWARE TECHNOLOGY LLC,60563,478499.2
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,APPLICATIONS SOFTWARE TECHNOLOGY LLC,APPLICATIONS SOFTWARE TECHNOLOGY LLC,60532,3172552.9
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,APPLIED ACOUSTICAL SCIENCES INC,APPLIED ACOUSTICAL SCIENCES INC,21226,350574.4
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,ARIES BUILDING SYSTEMS LLC,ARIES BUILDING SYSTEMS LLC,77028,486000
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,"ARIES BUILDING SYSTEMS, LLC",ARIES BUILDING SYSTEMS LLC,77028,301320
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,ARK SYSTEMS INC,ARK SYSTEMS INC,21045,44704
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,"ASCEND LEARNING HOLDINGS, LLC","ASCEND LEARNING HOLDINGS, LLC",60693,78867
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,ASSOCIATED CATHOLIC CHARITIES INC,ASSOCIATED CATHOLIC CHARITIES INC.,21093,181922.12
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,"ASSOCIATED CATHOLIC CHARITIES, INC.",ASSOCIATED CATHOLIC CHARITIES INC.,21093,140652.47
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,AT&T,AT&T,60197,72800
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,AT&T MOBILITY II LLC,AT&T MOBILITY II LLC,60197,354280.76
2021,MONTGOMERY COUNTY PUBLIC SCHOOLS,ATLANTECH ONLINE INC,ATLANTECH ONLINE INC,20910,813715.44
